,note_name,start_time,duration
0,Bb4,0.12,0.070
1,Db5,0.197,0.048
2,Bb4,0.255,0.051
3,F4,0.341,0.124
4,B3,0.543,0.203
5,F4,0.763,0.061
6,B4,0.836,0.022
7,F4,0.871,0.047
8,C4,0.928,0.234
9,B3,1.038,0.065
10,Bb3,1.117,0.068
11,D4,1.204,0.270
12,B4,1.49,0.193
13,Bb4,1.7229999999999999,0.128
14,B4,2.035,0.350
15,Ab4,2.408,0.077
16,Bb4,2.497,0.061
17,Bb4,2.568,0.055
18,Ab4,2.6710000000000003,0.191
19,Db5,2.882,0.090
20,D5,2.995,0.055
21,D5,3.238,0.331
22,Eb5,4.361,0.184
23,Eb5,4.557,0.150
24,Eb5,4.768,0.475
25,E5,5.035,0.350
26,E5,5.408,0.077
27,G5,5.497,0.061
28,Bb5,5.568,0.055
29,A5,5.671,0.191
30,B5,5.882,0.090
31,Bb5,5.995,0.055
32,A5,6.008,0.074
33,Bb5,6.09,0.151
34,Bb5,6.264,0.091
35,G5,6.365,0.079
36,F5,6.492,0.090
37,F5,6.608,0.134
38,E5,7.057,0.186
39,D5,7.257,0.155
40,B4,7.441,0.276
41,Ab4,8.049,0.086
42,F4,8.151,0.135
43,F4,8.306,0.272
44,F4,9.361,0.184
45,F4,9.557,0.150
46,F4,9.768,0.475
47,E4,10.09,0.137
48,Eb4,10.232,0.224
49,D4,10.746,0.154
50,Ab3,11.04,0.112
51,B3,11.197,0.115
52,Db4,11.366,0.234
