,note_name,start_time,duration
0,Db4,0.055,0.181
1,Db4,0.272,0.161
2,Db4,0.477,0.154
3,Db4,0.693,0.155
4,Db4,0.898,0.05199999999999998
5,D4,1.112,0.243
6,Gb4,1.3679999999999999,0.324
7,G4,1.841,0.10900000000000003
8,Gb4,2.049,0.086
9,E4,2.151,0.135
10,E4,2.306,0.272
11,F4,3.609,0.168
12,G4,3.824,0.081
13,A4,4.103,0.15
14,A4,4.273,0.109
15,Db5,4.4,0.078
16,E5,4.487,0.184
17,Db5,4.721,0.12
18,D5,4.855,0.09499999999999957
19,G5,4.991,-0.04099999999999966
20,G5,5.008,0.074
21,A5,5.09,0.151
22,C6,5.264,0.091
23,A5,5.365,0.079
24,A5,5.492,0.09
25,A5,5.608,0.134
26,G5,6.092,0.164
27,F5,6.318,0.135
28,D5,6.499,0.145
29,E5,7.754,0.073
30,Eb5,7.848,0.10200000000000013
31,Db5,8.057,0.186
32,D5,8.257,0.155
33,Eb5,8.441,0.276
34,E5,9.609,0.168
35,F5,9.824,0.081
36,F5,10.052,0.051
37,E5,10.108,0.068
38,F5,10.189,0.315
39,Eb5,10.527,0.039
40,Eb5,10.57,0.047
41,Db5,10.629,0.053
42,D5,10.697,0.095
43,B4,10.802,0.056
44,A4,10.882,0.06800000000000032
45,Bb4,11.357,0.076
46,B4,11.445,0.126
47,D5,11.616,0.07
48,D5,11.695,0.2549999999999997
49,F5,11.971,-0.021000000000000088
50,F5,12.129,0.15
51,F5,12.318,0.288
52,F5,13.008,0.074
53,E5,13.09,0.151
54,E5,13.264,0.091
55,E5,13.365,0.079
56,E5,13.492,0.09
57,G5,13.608,0.134
58,Gb5,14.121,0.095
59,E5,14.311,0.434
60,Eb5,14.767,0.134
61,E5,15.768,0.18199999999999933
62,E5,16.219,0.198
63,Eb5,16.432,0.092
64,F5,16.538,0.117
65,Gb5,16.672,0.083
66,F5,16.764,0.147
67,Gb5,16.923000000000002,0.026999999999998178
68,F5,17.003,0.154
69,F5,17.167,0.098
70,Eb5,17.521,0.181
71,C5,17.729,0.146
72,Db5,17.921,0.029000000000000623
73,D5,18.186,0.052
74,Eb5,18.268,0.169
75,Eb5,18.483,0.169
76,Db5,18.672,0.171
77,G4,18.862,0.08800000000000167
78,Ab4,19.341,0.158
79,Ab4,19.516,0.225
80,G4,19.773,0.17700000000000032
81,Ab4,20.868,0.08200000000000145
82,Ab4,21.036,0.174
83,Gb4,21.255,0.164
84,F4,21.443,0.195
85,F4,21.668,0.242
86,Eb4,21.913,0.03699999999999974
87,Eb4,22.171,0.073
88,E4,22.263,0.13
89,Db4,22.408,0.185
90,C4,22.656,0.091
91,Eb4,22.757,0.138
92,G4,22.908,0.04199999999999875
93,C5,22.996,-0.04599999999999867
94,D5,23.034,0.06
95,D5,23.098,0.294
