,note_name,start_time,duration
0,Bb4,0.148,0.066
1,G4,0.228,0.151
2,F4,0.398,0.057
3,Eb4,0.456,0.145
4,F4,0.618,0.169
5,Db4,0.849,0.247
6,D4,1.63,0.436
7,D4,2.008,0.118
8,G4,2.216,0.064
9,Bb4,2.286,0.137
10,A4,2.434,0.212
11,G4,2.703,0.214
12,Bb4,2.9379999999999997,0.064
13,Ab4,3.073,0.171
14,D5,3.27,0.060
15,G5,3.3529999999999998,0.159
16,Gb5,3.525,0.066
17,F5,3.607,0.173
18,D5,3.793,0.087
19,Db5,4.868,0.268
20,B4,5.018,0.056
21,G4,5.078,0.148
22,G4,5.228,0.103
23,B4,5.352,0.074
24,G4,5.426,0.057
25,E4,5.486,0.047
26,G4,5.533,0.053
27,Eb4,5.605,0.158
28,G4,5.773,0.039
29,B4,5.8309999999999995,0.168
30,E4,6.038,0.065
31,F4,6.117,0.068
32,D5,6.204,0.270
33,Gb4,6.49,0.193
34,Bb3,6.723,0.128
35,B3,7.003,0.212
36,A3,8.029,0.133
37,B3,8.177,0.091
38,C4,8.285,0.137
39,Db4,8.436,0.059
40,C4,8.514,0.243
41,Db4,8.766,0.217
42,C4,9.064,0.053
43,D4,9.154,0.073
44,F4,9.229,0.102
45,F4,9.583,0.431
46,Gb4,10.329,0.038
47,G4,10.375,0.039
48,Bb4,10.421,0.111
49,Bb4,10.536,0.126
50,Bb4,11.478,0.234
51,Bb4,11.738,0.201
52,Bb4,11.966,0.576
