,note_name,start_time,duration
0,D4,0.112,0.243
1,Gb4,0.368,0.324
2,G4,0.841,0.10900000000000003
3,C5,1.103,0.15
4,C5,1.2730000000000001,0.109
5,Ab4,1.4,0.078
6,F4,1.487,0.184
7,Ab4,1.721,0.12
8,A4,1.855,0.09500000000000001
9,B4,1.991,-0.041000000000000106
10,C5,2.034,0.06
11,C5,2.098,0.294
12,Db5,3.7039999999999997,0.24600000000000027
13,D5,4.122,0.139
14,C5,4.283,0.27
15,Eb5,5.04,0.112
16,Gb5,5.197,0.115
17,B4,5.366,0.234
18,Db5,6.357,0.076
19,E5,6.445,0.126
20,G5,6.616,0.07
21,G5,6.695,0.2549999999999997
22,Bb5,6.971,-0.021000000000000088
23,Bb5,7.078,0.201
24,Bb5,7.299,0.249
25,Eb5,8.259,0.154
26,Eb5,8.518,0.135
27,B4,8.671,0.27900000000000064
28,Ab4,9.073,0.171
29,C5,9.27,0.06
30,Bb4,9.353,0.159
31,Gb4,9.525,0.066
32,F4,9.607,0.173
33,F4,9.793,0.087
34,Gb4,10.868,0.08199999999999967
35,Gb4,11.074,0.043
36,D4,11.132,0.124
37,Bb3,11.271,0.09
38,Bb3,11.38,0.145
39,A3,11.543,0.138
40,Gb3,11.777,0.17300000000000076
41,Eb3,11.995,-0.04499999999999922
42,C3,12.029,0.133
43,Db3,12.177,0.091
44,C3,12.285,0.137
45,Eb3,12.436,0.059
46,C3,12.514,0.243
47,Db3,12.766,0.184
48,C3,13.014,0.125
49,C3,13.211,0.085
50,G2,13.326,0.155
51,G2,14.803,0.1469999999999992
52,G2,15.064,0.053
53,A2,15.154,0.073
54,C3,15.229,0.102
55,C3,15.583,0.3669999999999998
56,D3,16.219,0.198
57,Eb3,16.432,0.092
58,F3,16.538,0.117
59,Gb3,16.672,0.083
60,F3,16.764,0.147
61,Gb3,16.923000000000002,0.026999999999998178
62,Gb3,17.003,0.212
63,G3,18.062,0.16
64,G3,18.243,0.328
65,Db4,18.589,0.158
66,A4,18.824,0.1259999999999984
67,Ab4,19.329,0.038
68,A4,19.375,0.039
69,C5,19.421,0.111
70,C5,19.536,0.126
71,Bb4,20.031,0.064
72,B4,20.113,0.112
73,Bb4,20.241,0.068
74,G4,20.323,0.172
75,G4,20.542,0.172
76,Gb4,20.733,0.077
77,E4,20.826999999999998,0.12300000000000182
78,E4,21.632,0.158
79,Gb4,21.878,0.07199999999999988
80,G4,21.966,-0.016000000000001083
81,Db5,22.171,0.073
82,C5,22.263,0.13
83,Eb5,22.408,0.185
84,G5,22.656,0.091
85,Bb5,22.757,0.138
86,E6,22.908,0.04199999999999875
87,G6,22.996,-0.04599999999999867
88,F6,23.121,0.095
89,D6,23.311,0.434
90,F6,23.767,0.134
