,note_name,start_time,duration
0,Eb4,0.115,0.07
1,G4,0.201,0.182
2,G4,0.444,0.164
3,Gb4,0.634,0.264
4,F4,1.073,0.137
5,F4,1.389,0.26
6,E4,1.663,0.25
7,Gb4,2.357,0.076
8,G4,2.445,0.126
9,G4,2.616,0.07
10,G4,2.695,0.25500000000000017
11,Ab4,2.971,-0.021000000000000088
12,G4,3.018,0.25
13,G4,3.297,0.073
14,Gb4,3.38,0.099
15,E4,3.517,0.169
16,Eb4,3.917,0.03300000000000018
17,F4,4.279,0.068
18,D4,4.358,0.121
19,C4,4.503,0.087
20,A3,4.602,0.158
21,A3,4.775,0.17499999999999966
22,E3,5.121,0.293
23,C3,5.426,0.095
24,G2,5.533,0.247
25,E2,5.793,0.116
26,C2,5.922,0.02800000000000029
27,B1,6.219,0.198
28,Bb1,6.432,0.092
29,C2,6.538,0.117
30,Db2,6.672,0.083
31,C2,6.764,0.147
32,Db2,6.923,0.026999999999999955
33,D2,7.129,0.15
34,D2,7.318,0.288
35,D2,8.478,0.234
36,D2,8.738,0.201
37,D2,8.966,-0.015999999999999306
38,F2,9.233,0.176
39,Gb2,9.427,0.184
40,Db3,9.63,0.293
41,B3,9.934,0.016000000000000722
42,C4,10.129,0.057
43,Bb3,10.197,0.152
44,C4,10.349,0.064
45,C4,10.423,0.238
46,C4,10.71,0.23999999999999916
47,C4,11.632,0.158
48,Db4,11.878,0.07199999999999988
49,C4,11.966,-0.015999999999999306
