,note_name,start_time,duration
0,B3,0.219,0.198
1,Bb3,0.432,0.092
2,C4,0.538,0.117
3,Db4,0.672,0.083
4,C4,0.764,0.147
5,Db4,0.923,0.026999999999999955
6,D4,1.15,0.164
7,D4,1.337,0.219
8,E4,2.384,0.5660000000000001
9,E4,3.2640000000000002,0.107
10,E4,3.501,0.229
11,Eb4,3.758,0.076
12,E4,3.866,0.0839999999999999
13,Eb4,4.779,0.1710000000000001
14,F4,5.072,0.057
15,C4,5.156,0.195
16,A3,5.374,0.091
17,D4,5.474,0.074
18,Bb3,5.573,0.161
19,A3,5.76,0.143
20,Bb3,5.936,0.014000000000000054
21,Bb3,6.04,0.112
22,Gb3,6.197,0.115
23,Ab3,6.366,0.234
24,A3,7.678,0.2720000000000001
25,B3,8.029,0.133
26,Bb3,8.177,0.091
27,B3,8.285,0.137
28,Ab3,8.436,0.059
29,B3,8.514,0.243
30,Bb3,8.766,0.184
31,B3,9.077,0.072
32,C4,9.174,0.154
33,C4,9.337,0.059
34,F4,9.41,0.251
35,Ab4,10.341,0.158
36,Bb4,10.516,0.225
37,C5,10.773,0.17700000000000032
38,C5,11.074,0.043
39,B4,11.132,0.124
40,Db5,11.271,0.09
41,Bb4,11.38,0.145
42,A4,11.543,0.138
43,A4,11.777,0.17300000000000076
44,Bb4,11.995,-0.04499999999999922
45,C4,12.026,0.191
46,Bb3,12.258,0.108
47,Db4,12.49,0.145
48,C4,12.664,0.143
49,A3,12.827,0.12300000000000004
50,Bb3,13.035,0.35
51,Ab3,13.408,0.077
52,C4,13.497,0.061
53,E4,13.568,0.055
54,Eb4,13.671,0.191
55,Gb4,13.882,0.06800000000000032
56,E4,13.995,-0.04499999999999922
57,F4,14.129,0.15
58,F4,14.318,0.288
59,E4,15.478,0.234
60,E4,15.738,0.201
61,E4,15.966,-0.015999999999999306
62,D4,16.018,0.259
63,Gb4,16.297,0.207
64,Ab4,16.509,0.18
65,C5,16.747,0.072
66,B4,16.832,0.11799999999999926
67,G4,17.073,0.137
68,D4,17.389,0.26
69,C4,17.663,0.25
70,C4,18.361,0.184
71,C4,18.557,0.15
72,C4,18.768,0.18199999999999933
73,C4,19.264,0.107
74,C4,19.501,0.229
75,Db4,19.758,0.076
76,C4,19.866,0.08400000000000034
77,Db4,20.329,0.038
78,C4,20.375,0.039
79,D4,20.421,0.111
80,D4,20.536,0.126
81,Eb4,21.078,0.201
82,Eb4,21.299,0.249
83,E4,22.018,0.25
84,E4,22.297,0.073
85,Gb4,22.38,0.099
86,G4,22.517,0.169
87,Bb4,22.917,0.032999999999998406
88,B4,23.008,0.118
89,A4,23.216,0.064
90,B4,23.286,0.137
91,A4,23.434,0.212
92,C5,23.703,0.214
93,D5,23.938,0.012000000000001163
