,note_name,start_time,duration
0,Db4,0.078,0.201
1,Db4,0.299,0.249
2,C4,1.478,0.234
3,C4,1.738,0.201
4,C4,1.966,-0.015999999999999973
5,B3,2.367,0.1
6,C4,2.483,0.138
7,B3,2.703,0.15
8,C4,2.878,0.07199999999999988
9,Db4,3.003,0.212
10,Bb3,4.121,0.293
11,A3,4.426,0.095
12,E3,4.533,0.247
13,G3,4.793,0.116
14,A3,4.922,0.02800000000000029
15,A3,5.018,0.25
16,C4,5.297,0.073
17,Db4,5.38,0.099
18,C4,5.517,0.169
19,B3,5.917,0.03300000000000018
20,C4,6.018,0.25
21,C4,6.297,0.073
22,Bb3,6.38,0.099
23,C4,6.517,0.169
24,Bb3,6.917,0.03300000000000018
25,Bb3,7.779,0.1710000000000001
26,A3,8.008,0.074
27,G3,8.09,0.151
28,G3,8.264,0.091
29,G3,8.365,0.079
30,G3,8.492,0.09
31,G3,8.608,0.134
32,D3,9.073,0.137
33,Bb2,9.389,0.26
34,A2,9.663,0.25
35,C3,10.307,0.158
36,D3,10.484,0.243
37,D3,10.747,0.20300000000000012
38,D3,11.004,0.243
