,note_name,start_time,duration
0,Db4,0.115,0.07
1,E4,0.201,0.182
2,E4,0.444,0.164
3,Db4,0.634,0.264
4,D4,1.15,0.164
5,D4,1.337,0.219
6,E4,2.065,0.064
7,D4,2.154,0.171
8,B3,2.337,0.31
9,A3,2.667,0.167
10,D4,2.875,0.075
11,C4,3.014,0.125
12,C4,3.211,0.085
13,G3,3.326,0.155
14,Ab3,4.357,0.076
15,A3,4.445,0.126
16,A3,4.616,0.07
17,A3,4.695,0.2549999999999997
18,B3,4.971,-0.021000000000000088
19,B3,5.34,0.171
20,D4,6.008,0.074
21,E4,6.09,0.151
22,G4,6.264,0.091
23,E4,6.365,0.079
24,G4,6.492,0.09
25,E4,6.608,0.134
26,E4,7.092,0.164
27,F4,7.318,0.135
28,D4,7.499,0.145
29,Db4,8.704,0.24599999999999939
30,Db4,9.078,0.201
31,Db4,9.299,0.249
32,C4,10.361,0.184
33,C4,10.557,0.15
34,C4,10.768,0.18199999999999933
35,Bb3,11.309,0.172
36,B3,11.486,0.079
37,B3,11.572,0.193
38,Db4,11.818999999999999,0.116
39,D4,11.943,0.007000000000000381
40,Db4,12.34,0.171
41,B3,13.121,0.293
42,G3,13.426,0.095
43,B3,13.533,0.247
44,A3,13.793,0.116
45,E3,13.922,0.0279999999999994
46,Eb3,14.003,0.212
47,E3,15.478,0.234
48,E3,15.738,0.201
49,E3,15.966,-0.015999999999999306
50,Ab3,16.115,0.07
51,C4,16.201,0.182
52,A3,16.444,0.164
53,Ab3,16.634,0.264
54,A3,17.803,0.1469999999999992
55,Db3,18.259,0.154
56,Ab2,18.518,0.135
57,E2,18.671,0.27900000000000064
58,B1,19.073,0.137
59,A1,19.389,0.26
60,G1,19.663,0.25
61,Bb1,20.357,0.076
62,B1,20.445,0.126
63,D2,20.616,0.07
64,D2,20.695,0.2549999999999997
65,Eb2,20.971,-0.021000000000000088
66,E2,21.112,0.243
67,Gb2,21.368,0.324
68,A2,21.841,0.10899999999999892
69,F2,22.073,0.137
70,D2,22.389,0.26
71,C2,22.663,0.25
72,E2,23.286,0.082
73,B2,23.378,0.15
74,D3,23.54,0.059
75,E3,23.635,0.113
76,G3,23.76,0.134
