,note_name,start_time,duration
0,B3,0.121,0.293
1,E4,0.426,0.095
2,B3,0.533,0.247
3,A3,0.793,0.116
4,G3,0.922,0.027999999999999955
5,Bb3,1.329,0.038
6,B3,1.375,0.039
7,C4,1.421,0.111
8,C4,1.536,0.126
9,C4,2.026,0.191
10,Db4,2.258,0.108
11,Db4,2.49,0.145
12,C4,2.664,0.143
13,B3,2.827,0.12300000000000004
14,Gb4,3.109,0.221
15,E4,3.368,0.147
16,Gb4,3.616,0.074
17,Bb4,3.757,0.158
18,Db5,3.988,-0.03799999999999999
19,D5,4.15,0.164
20,D5,4.337,0.219
21,Bb4,5.014,0.189
22,A4,5.216,0.336
23,A4,5.5649999999999995,0.137
24,F4,5.823,0.1269999999999996
25,G4,6.6,0.082
26,Bb4,6.6899999999999995,0.108
27,C5,6.844,0.077
28,Db5,6.939,0.01099999999999994
29,C5,7.026,0.191
30,Db5,7.258,0.108
31,Bb5,7.49,0.145
32,E5,7.664,0.143
33,A5,7.827,0.12300000000000004
34,E5,8.014,0.189
35,G5,8.216,0.336
36,G5,8.565,0.137
37,D5,8.823,0.1269999999999996
38,Bb4,9.014,0.189
39,C5,9.216,0.336
40,A4,9.565,0.137
41,F4,9.823,0.1269999999999996
42,A4,10.112,0.243
43,Bb4,10.368,0.324
44,C5,10.841,0.1090000000000007
45,Bb4,11.09,0.137
46,A4,11.232,0.224
47,G4,11.746,0.154
48,D4,12.073,0.137
49,A3,12.389,0.26
50,E3,12.663,0.25
51,Eb3,13.09,0.137
52,D3,13.232,0.224
53,C3,13.746,0.154
54,E3,14.667,0.092
55,G3,14.77,0.143
56,G3,14.922,0.0279999999999994
57,Ab3,15.171,0.073
58,G3,15.263,0.13
59,Db4,15.408,0.185
60,C4,15.656,0.091
61,Bb3,15.757,0.138
62,C4,15.908,0.04200000000000052
63,E4,15.996,-0.04600000000000044
64,F4,16.132,0.168
65,Gb4,16.316,0.35
66,A4,17.064,0.053
67,Bb4,17.154,0.073
68,C5,17.229,0.102
69,C5,17.583,0.3670000000000016
70,B4,18.219,0.198
71,Bb4,18.432,0.092
72,C5,18.538,0.117
73,Db5,18.672,0.083
74,C5,18.764,0.147
75,Db5,18.923000000000002,0.026999999999998178
76,Db5,19.704,0.24599999999999939
77,Ab5,20.251,0.169
78,Bb5,20.427,0.132
79,B5,20.602,0.16
80,E6,20.867,0.08299999999999912
81,F6,21.191,0.241
82,Gb6,21.435,0.042
83,F6,21.483,0.038
84,Gb6,21.525,0.225
85,A6,21.773,0.145
86,A6,21.941,0.009000000000001049
87,G6,22.173,0.128
88,F6,22.315,0.32
89,A6,22.65,0.171
90,G6,22.842,0.042
91,E6,22.91,0.039999999999999855
92,Eb6,23.049,0.086
93,D6,23.151,0.135
94,D6,23.306,0.272
