,note_name,start_time,duration
0,D4,0.186,0.052
1,Eb4,0.268,0.169
2,Eb4,0.483,0.169
3,Db4,0.672,0.171
4,E4,0.862,0.08800000000000001
5,E4,1.064,0.053
6,F4,1.154,0.073
7,G4,1.229,0.102
8,G4,1.583,0.36700000000000005
9,G4,2.003,0.154
10,E4,2.167,0.098
11,Db4,2.521,0.181
12,C4,2.729,0.146
13,Eb4,2.9210000000000003,0.028999999999999734
14,C5,3.233,0.176
15,Ab5,3.427,0.184
16,Db6,3.63,0.293
17,Ab6,3.934,0.015999999999999834
18,Eb6,4.038,0.065
19,F6,4.117,0.068
20,C6,4.204,0.27
21,Db6,4.49,0.193
22,C6,4.723,0.128
23,C6,5.2379999999999995,0.331
24,G5,6.029,0.133
25,Ab5,6.177,0.091
26,G5,6.285,0.137
27,Eb5,6.436,0.059
28,E5,6.514,0.243
29,Eb5,6.766,0.184
30,Eb5,7.055,0.181
31,Eb5,7.272,0.161
32,Eb5,7.477,0.154
33,Eb5,7.693,0.155
34,Eb5,7.898,0.05200000000000031
35,D5,8.307,0.158
36,E5,8.484,0.243
37,E5,8.747,0.20300000000000012
38,F5,9.238,0.331
39,E5,10.361,0.184
40,E5,10.557,0.15
41,E5,10.768,0.18199999999999933
42,Gb5,11.186,0.052
43,Ab5,11.268,0.169
44,F5,11.483,0.169
45,Ab5,11.672,0.171
46,B5,11.862,0.0879999999999999
