,note_name,start_time,duration
0,G3,0.014,0.125
1,E3,0.211,0.085
2,E3,0.326,0.155
3,E3,1.768,0.182
4,Eb3,2.055,0.181
5,Eb3,2.2720000000000002,0.161
6,Eb3,2.477,0.154
7,Eb3,2.693,0.155
8,Eb3,2.898,0.051999999999999866
9,E3,3.008,0.118
10,A3,3.216,0.064
11,C4,3.286,0.137
12,D4,3.434,0.212
13,F4,3.703,0.214
14,G4,3.9379999999999997,0.012000000000000274
15,F4,4.148,0.066
16,E4,4.228,0.151
17,F4,4.398,0.057
18,E4,4.456,0.145
19,C4,4.618,0.169
20,Db4,4.849,0.1009999999999998
21,Db4,5.868,0.08199999999999967
22,C4,6.029,0.133
23,Ab3,6.177,0.091
24,G3,6.285,0.137
25,Ab3,6.436,0.059
26,E3,6.514,0.243
27,Eb3,6.766,0.184
28,D3,7.122,0.139
29,C3,7.283,0.27
30,C3,8.609,0.168
31,D3,8.824,0.081
32,F3,9.065,0.064
33,G3,9.154,0.171
34,E3,9.337,0.31
35,G3,9.667,0.167
36,E3,9.875,0.075
37,Bb2,10.112,0.099
38,C3,10.214,0.115
39,G2,10.341,0.339
40,F2,10.688,0.177
41,B1,10.876,0.026
42,E1,10.947,0.0030000000000008215
43,Ab1,11.018,0.056
44,G1,11.078,0.148
45,B1,11.228,0.103
46,Ab1,11.352,0.074
47,B1,11.426,0.057
48,Ab1,11.486,0.047
49,B1,11.533,0.053
50,G1,11.605,0.158
51,B1,11.773,0.039
52,Db2,11.831,0.11900000000000048
53,Gb1,12.038,0.065
54,G1,12.117,0.068
55,E1,12.204,0.27
56,Gb1,12.49,0.193
57,E1,12.723,0.128
58,F1,13.129,0.15
59,F1,13.318,0.288
60,D2,14.445,0.167
61,C3,14.646,0.176
62,B2,14.844,0.10600000000000058
63,Ab2,15.031,0.064
64,G2,15.113,0.112
65,Gb2,15.241,0.068
66,E2,15.323,0.172
67,E2,15.542,0.172
68,D2,15.733,0.077
69,B1,15.827,0.12300000000000004
70,A1,16.008,0.118
71,G1,16.216,0.064
72,A1,16.286,0.137
73,D2,16.434,0.212
74,D2,16.703,0.214
75,F2,16.938,0.012000000000001163
76,E2,17.15,0.164
77,E2,17.337,0.219
78,E2,18.384,0.5659999999999996
79,Eb2,19.309,0.172
80,E2,19.486,0.079
81,E2,19.572,0.193
82,Eb2,19.819,0.116
83,E2,19.943,0.0069999999999986046
84,Ab2,20.171,0.073
85,G2,20.263,0.13
86,F2,20.408,0.185
87,D2,20.656,0.091
88,Ab2,20.757,0.138
89,G2,20.908,0.04199999999999875
90,G2,20.996,-0.04599999999999867
91,A2,21.132,0.168
92,B2,21.316,0.35
93,Ab2,22.031,0.064
94,G2,22.113,0.112
95,Gb2,22.241,0.068
96,E2,22.323,0.172
97,E2,22.542,0.172
98,D2,22.733,0.077
99,B1,22.826999999999998,0.12300000000000182
100,Db2,23.139,0.115
101,D2,23.273,0.306
102,Db2,23.592,0.141
103,Eb2,23.777,0.158
104,F2,23.966,-0.016000000000001083
