note_name,start_time,duration,velocity
G5,0.0,0.25,100
A#5,0.25,0.125,100
C6,0.375,0.25,100
D6,0.625,0.25,100
A#5,0.875,1.125,100
C5,0.0,0.0,100
G5,2.0,0.25,100
A#5,2.25,0.125,100
C6,2.375,0.25,100
D6,2.625,0.25,100
A#5,2.875,1.125,100
A#4,2.0,0.0,100
A#5,4.0,0.375,100
G5,4.0,0.125,100
C6,4.375,0.25,100
G#5,4.5,0.25,100
D6,4.75,0.125,100
D#6,5.125,0.375,100
A#5,5.0,0.125,100
D6,5.5,0.125,100
C6,5.75,0.25,102
F5,5.625,0.0,100
G#4,4.0,0.0,100
F6,6.0,0.375,100
F5,6.0,0.125,100
D#6,6.375,0.25,100
F5,6.5,0.25,100
D6,6.75,0.125,100
C6,7.125,0.375,100
A#5,7.0,0.0,100
A#5,7.5,0.5,100
D5,7.5,0.0,100
A#4,6.0,0.0,100
G5,8.0,0.25,100
A#5,8.25,0.125,100
D#5,8.0,0.125,100
C6,8.375,0.125,100
D6,8.625,0.25,100
F5,8.5,0.125,100
D#5,9.0,0.5,100
F5,9.5,0.5,100
A#5,8.875,0.0,100
C5,8.0,0.0,100
G5,10.0,0.25,100
A#5,10.25,0.125,100
D5,10.0,0.125,100
C6,10.375,0.125,100
D6,10.625,0.25,100
C5,10.5,0.125,100
D5,11.0,0.5,100
D#5,11.5,0.5,100
A#5,10.875,0.0,100
A#4,10.0,0.0,100
A#5,12.0,0.375,100
G5,12.0,0.125,100
C6,12.375,0.25,100
G#5,12.5,0.25,100
D6,12.75,0.125,100
D#6,13.125,0.375,100
A#5,13.0,0.125,100
D6,13.5,0.125,100
C6,13.75,0.25,102
F5,13.625,0.0,100
G#4,12.0,0.0,100
F6,14.0,0.375,100
F5,14.0,0.125,100
D#6,14.375,0.25,100
F5,14.5,0.25,100
D6,14.75,0.125,100
C6,15.125,0.375,100
A#5,15.0,0.0,100
A#5,15.5,0.5,100
D5,15.5,0.0,100
A#4,14.0,0.0,100
G5,16.0,0.25,100
A#5,16.25,0.125,100
D#5,16.0,0.125,100
C6,16.375,0.125,100
D6,16.625,0.25,100
F5,16.5,0.125,100
D#5,17.0,0.5,100
F5,17.5,0.5,100
A#5,16.875,0.0,100
C5,16.0,0.0,100
G5,18.0,0.25,100
A#5,18.25,0.125,100
D5,18.0,0.125,100
C6,18.375,0.125,100
D6,18.625,0.25,100
C5,18.5,0.125,100
D5,19.0,0.5,100
D#5,19.5,0.5,100
A#5,18.875,0.0,100
A#4,18.0,0.0,100
A#5,20.0,0.375,100
G5,20.0,0.125,100
C6,20.375,0.25,100
G#5,20.5,0.25,100
D6,20.75,0.125,100
D#6,21.125,0.375,100
A#5,21.0,0.125,100
D6,21.5,0.125,100
C6,21.75,0.25,102
F5,21.625,0.0,100
G#4,20.0,0.0,100
F6,22.0,0.375,100
F5,22.0,0.125,100
D#6,22.375,0.25,100
F5,22.5,0.25,100
D6,22.75,0.125,100
C6,23.125,0.375,100
A#5,23.0,0.0,100
A#5,23.5,0.5,100
D5,23.5,0.0,100
A#4,22.0,0.0,100
A#5,24.0,0.375,100
G5,24.0,0.0,100
C6,24.375,0.375,100
G5,24.375,0.0,100
A#5,24.75,0.375,100
G5,24.75,0.0,100
C6,25.125,0.375,100
G5,25.125,0.0,100
A#5,25.5,0.03125,100
F5,25.625,0.34375,100
G#4,24.0,0.0,100
G5,26.0,0.375,100
F5,26.0,0.0,100
A#5,26.375,0.375,100
F5,26.375,0.0,100
G5,26.75,0.375,100
F5,26.75,0.0,100
A#5,27.125,0.375,100
F5,27.125,0.0,100
G5,27.5,0.25,100
D5,27.5,0.0,100
A#5,27.75,0.25,100
D5,27.75,0.0,100
A#4,26.0,0.0,100
A#5,28.0,0.375,100
G5,28.0,0.0,100
C6,28.375,0.375,100
G5,28.375,0.0,100
A#5,28.75,0.375,100
G5,28.75,0.0,100
C6,29.125,0.375,100
G5,29.125,0.0,100
A#5,29.5,0.03125,100
F5,29.625,0.34375,100
G#4,28.0,0.0,100
G5,30.0,0.375,100
F5,30.0,0.0,100
A#5,30.375,0.375,100
F5,30.375,0.0,100
G5,30.75,0.375,100
F5,30.75,0.0,100
A#5,31.125,0.375,100
F5,31.125,0.0,100
G5,31.5,0.0625,100
D#5,31.5,0.0,100
D6,31.5625,0.0625,100
A5,31.5625,0.0,100
D#6,31.625,0.125,100
A#5,31.625,0.0,100
D#6,31.75,0.25,100
A#5,31.75,0.0,100
A#4,30.0,0.0,100
A#5,32.0,0.375,100
G5,32.0,0.0,100
C6,32.375,0.375,100
G5,32.375,0.0,100
A#5,32.75,0.375,100
G5,32.75,0.0,100
C6,33.125,0.375,100
G5,33.125,0.0,100
A#5,33.5,0.125,100
C6,33.625,0.25,100
C6,33.875,0.125,100
F5,33.625,0.0,100
G#4,32.0,0.0,100
D6,34.0,0.125,100
C6,34.125,0.125,100
D6,34.25,0.125,100
F5,34.0,0.0,100
D#6,34.375,0.125,100
G5,34.5,0.25,100
F5,34.375,0.0,100
D6,34.75,0.125,100
C6,34.875,0.125,100
D6,35.0,0.125,100
F5,34.75,0.0,100
D#6,35.125,0.125,100
G5,35.25,0.25,100
F5,35.125,0.0,100
D5,35.5,0.125,100
A#5,35.5,0.125,100
C6,35.75,0.25,100
