,note_name,start_time,duration,velocity,chord
0,F4,0.125,0.15494791666666666,94,Em7b5
1,A4,0.29036458333333215,0.7252604166666666,95,Em7b5
2,B4,1.6783854166666679,0.33984375,96,A7
3,C#5,2.036458333333332,0.17447916666666666,115,Dj7
4,B4,2.255208333333334,0.1640625,92,Dj7
5,A4,2.442708333333334,0.1953125,109,Dj7
6,F#4,2.66796875,0.2421875,102,Dj7
7,F4,2.912760416666666,0.07942708333333333,98,Dj7
8,F#4,3.00390625,0.2434895833333333,97,Dj7
9,A4,4.170572916666666,0.07291666666666667,109,Em7b5
10,A#4,4.263020833333334,0.13020833333333334,112,Em7b5
11,C5,4.407552083333334,0.18489583333333331,111,Em7b5
12,G5,4.65625,0.09114583333333333,118,Em7b5
13,F5,4.756510416666666,0.13802083333333334,114,Em7b5
14,D5,4.907552083333336,0.08854166666666667,106,Em7b5
15,E5,4.99609375,0.3333333333333333,111,Em7b5
16,D5,5.3671875,0.10026041666666667,117,A7
17,C#5,5.483072916666664,0.13802083333333334,111,A7
18,B4,5.703125,0.14973958333333334,93,A7
19,C#5,5.877604166666664,0.14713541666666666,115,A7
20,B4,6.114583333333336,0.0703125,95,Dj7
21,A4,6.200520833333336,0.18229166666666666,105,Dj7
22,D5,6.444010416666664,0.1640625,112,Dj7
23,B4,6.634114583333336,0.2643229166666667,83,Dj7
24,A4,7.600260416666664,0.08203125,111,Dj7
25,B4,7.690104166666664,0.10807291666666667,105,Dj7
26,D5,7.84375,0.07682291666666667,113,Dj7
27,F5,7.938802083333336,0.1328125,116,Dj7
28,F#5,8.0859375,0.08333333333333333,123,G#m7b5
29,F5,8.1796875,0.11848958333333333,112,G#m7b5
30,F#5,8.325520833333336,0.21875,114,G#m7b5
31,D5,8.561197916666664,0.0859375,110,G#m7b5
32,B4,8.662760416666664,0.15234375,95,G#m7b5
33,F4,8.821614583333336,0.08203125,107,G#m7b5
34,F5,8.921875,0.19010416666666666,116,G#m7b5
35,D5,9.131510416666664,0.16796875,118,G-7
36,E5,9.31640625,0.3502604166666667,110,G-7
37,E4,10.283854166666668,0.05859375,118,F#-7
38,F4,10.348958333333332,0.059895833333333336,116,F#-7
39,F#4,10.415364583333332,0.11588541666666667,106,F#-7
40,A4,10.546875,0.09635416666666667,106,F#-7
41,B4,10.651041666666668,0.14322916666666666,105,F#-7
42,C#5,10.795572916666668,0.08984375,108,F#-7
43,E5,10.904947916666668,0.22005208333333331,119,F#-7
44,D#5,11.139322916666668,0.11458333333333333,96,Fo
45,D5,11.2734375,0.3059895833333333,111,Fo
46,C#5,11.592447916666668,0.140625,115,Fo
47,E5,11.77734375,0.15755208333333334,119,Fo
48,F#5,11.966145833333332,0.13802083333333334,104,Fo
49,A4,12.12890625,0.14973958333333334,99,E-7
50,A4,12.317708333333329,0.2877604166666667,91,E-7
51,A5,13.360677083333329,0.18359375,102,A7
52,A5,13.557291666666668,0.14973958333333334,105,A7
53,A5,13.768229166666668,0.4752604166666667,105,A7
54,D5,14.264322916666668,0.10677083333333333,108,Dj7
55,D5,14.501302083333329,0.22916666666666666,110,Dj7
56,C#5,14.7578125,0.07552083333333333,111,Dj7
57,D5,14.865885416666668,0.2708333333333333,102,Dj7
58,A4,15.75390625,0.07291666666666667,90,Dj7
59,A#4,15.84765625,0.16796875,102,Dj7
60,C5,16.01822916666667,0.055989583333333336,99,Em7b5
61,D5,16.078125,0.1484375,115,Em7b5
62,G5,16.22786458333333,0.10286458333333333,111,Em7b5
63,F5,16.3515625,0.07421875,106,Em7b5
64,G5,16.42578125,0.05729166666666665,96,Em7b5
65,F5,16.48567708333333,0.046875,105,Em7b5
66,D5,16.53255208333333,0.05338541666666666,109,Em7b5
67,A#4,16.60546875,0.15755208333333334,99,Em7b5
68,G4,16.7734375,0.0390625,95,Em7b5
69,A4,16.83072916666667,0.16796875,95,Em7b5
70,G#4,17.02604166666667,0.19140625,107,A7
71,F5,17.2578125,0.10807291666666667,108,A7
72,G4,17.48958333333333,0.14453125,100,A7
73,E5,17.6640625,0.14322916666666666,111,A7
