note_name,start_time,duration,velocity
C5,4732,24,106
C#5,4762,80,105
D5,4852,77,102
F5,4939,77,115
G5,5033,99,108
F5,5140,79,105
D6,5243,86,96
C#6,5337,76,109
C6,5418,121,107
B5,5543,77,104
A#5,5629,91,103
F5,5732,70,107
D5,5812,80,96
C5,5894,60,95
A#4,5965,134,103
G4,6115,66,103
F4,6200,60,92
C5,6316,53,100
A#4,6380,98,93
C#5,6491,63,92
F5,6571,106,110
F5,6750,100,106
A#5,6874,69,104
F5,6963,68,98
A#5,7067,64,101
C#6,7136,88,105
C6,7233,54,105
B5,7292,32,103
A#5,7325,99,105
G5,7429,63,112
C#5,7518,66,102
C5,7597,32,97
B4,7636,28,103
A#4,7676,103,103
G#4,7829,45,103
A4,7901,68,93
A#4,7996,56,100
B4,8104,61,93
C5,8198,52,95
D5,8272,62,96
B4,8384,59,92
C5,8477,56,86
D5,8567,60,95
E5,8650,78,96
F5,8749,75,110
G5,8833,113,110
E5,8971,64,94
F5,9045,78,108
G5,9132,87,104
G5,9620,64,106
G#5,9734,67,111
E5,9865,62,87
F5,9970,99,108
C#5,10129,73,95
D5,10301,82,97
A#4,10496,58,101
B4,10570,70,94
G4,10681,65,96
G#4,10764,64,97
D5,10889,57,96
A#4,10961,152,93
G4,11446,22,100
A#4,11483,64,102
D5,11553,69,91
F5,11634,85,113
E5,11738,73,102
G5,11823,79,111
A#5,11917,88,102
D6,12025,85,104
C6,12121,35,104
D6,12159,43,103
C6,12207,38,103
B5,12257,37,102
A#5,12304,27,96
G5,12339,23,102
E5,12375,26,96
C#5,12410,50,95
C5,12475,67,99
A5,12600,69,105
E5,12689,70,96
C5,12784,45,96
B4,12832,18,98
A#4,12860,83,95
G#4,12974,67,105
A4,13069,44,93
C5,13152,59,91
G5,13237,80,102
E5,13339,80,94
F5,13430,78,100
A5,13532,63,104
C6,13617,83,101
E6,13729,62,90
F6,13854,28,86
G6,13901,135,92
D#6,14099,32,99
E6,14136,60,92
A#5,14256,51,95
B5,14320,55,96
G5,14423,124,97
A5,14589,105,98
F5,14743,115,99
D5,14916,110,96
B4,15105,81,98
G4,15300,47,101
E5,15384,127,95
C5,15920,38,107
D5,15965,19,102
C5,15996,30,102
B4,16042,54,105
A#4,16114,71,104
G#4,16215,74,109
A4,16308,79,95
C5,16414,60,96
F5,16498,81,110
F#5,16585,79,106
D#5,16685,78,97
B4,16800,62,98
A#4,16884,86,95
F5,16981,75,110
D5,17084,59,95
A4,17191,72,96
C5,17276,97,96
A#4,17430,484,94
C5,17919,52,91
D5,17979,59,94
F5,18044,85,106
A5,18150,61,110
C6,18229,99,101
A5,18341,62,105
A#5,18423,82,100
C6,18526,46,102
A#5,18582,24,100
A5,18625,54,101
A#5,18721,101,103
C6,18851,36,91
A#5,18891,13,97
A5,18906,62,103
A#5,19010,119,103
C6,19137,26,91
A5,19181,94,101
A#5,19310,109,106
C6,19430,31,99
A#5,19476,39,99
A5,19536,59,97
A#5,19613,150,106
G5,19770,81,101
G#5,19894,69,101
A5,19974,81,98
B5,20099,40,103
C6,20152,102,103
A5,20279,64,110
E5,20360,99,91
E5,20494,33,87
G5,20532,117,102
E5,20666,44,87
F5,20713,107,106
E6,20886,58,99
B5,21039,30,98
C6,21073,51,104
C#6,21357,39,102
D6,21399,45,96
A#5,21524,52,96
B5,21660,44,95
G5,21783,59,100
G#5,21915,67,104
E5,22084,55,90
F5,22176,60,94
C#5,22290,45,85
D5,22377,49,87
A#4,22477,41,96
B4,22571,45,99
G4,22651,51,100
G#4,22752,54,100
A#4,23203,75,103
D5,23300,51,98
F5,23370,95,111
A5,23482,84,112
G5,23575,26,101
G#5,23608,31,100
G5,23648,19,97
F5,23685,58,99
E5,23769,79,93
G5,23868,83,104
A#5,23956,82,103
C#6,24048,96,105
D6,24153,92,102
A#5,24262,67,102
G5,24344,89,106
E5,24440,58,96
C6,24549,19,89
D6,24579,31,98
C6,24620,63,101
A#5,24699,101,102
G5,24831,70,109
E5,24913,99,99
C#5,25017,87,99
C5,25114,72,101
A#4,25191,84,101
A4,25292,119,105
B4,25419,62,102
C5,25488,65,96
A5,25574,80,112
E5,25696,60,97
C5,25782,59,95
A4,25869,78,102
A#4,25953,73,101
B4,26043,88,93
F5,26176,39,109
A5,26229,96,110
F#5,26354,56,101
G5,26424,86,106
B5,26529,60,100
D6,26657,79,101
F6,26762,48,100
G6,26817,62,100
E6,26944,59,101
B5,27124,28,100
C6,27158,53,101
G#5,27301,24,106
A5,27331,56,104
F5,27484,73,96
C5,27583,77,94
F5,27714,68,105
F5,27969,149,98
A#4,28463,50,106
C5,28525,70,100
F5,28625,99,109
A5,28740,113,110
C6,28875,103,107
G#5,29012,50,113
G5,29073,68,111
G#5,29146,41,109
D6,29296,78,105
F6,29434,77,105
A6,29987,34,105
A#6,30027,40,101
F6,30163,58,96
C#6,30288,29,100
D6,30318,76,102
A#5,30441,84,98
G5,30557,74,103
B5,30753,59,100
C6,30820,78,104
A5,30915,92,106
A#5,31019,84,99
G5,31121,74,107
G#5,31199,101,113
F5,31316,67,109
C#5,31407,56,97
C5,31488,24,99
B4,31530,24,101
A#4,31566,100,103
G#4,31699,79,107
G4,31787,66,100
C5,31881,69,96
A#4,31971,85,100
G#4,32082,90,101
A4,32191,79,106
C5,32284,58,94
G4,32378,64,101
C5,32475,61,98
F4,32563,199,100
F4,33229,145,101
A#4,33432,44,101
E4,33627,132,101
C5,33813,40,98
D4,34080,238,109
G4,34785,61,107
G#4,34854,69,104
B4,34939,74,98
D5,35049,85,100
F5,35150,89,110
D5,35249,76,100
C5,35346,34,101
B4,35386,40,102
A#4,35440,74,105
G4,35530,80,102
C5,35634,77,95
A4,35749,84,95
A#4,35922,105,96
B4,36466,56,91
D5,36568,64,95
F5,36636,87,108
E5,36739,85,97
G5,36832,72,112
E5,36921,74,95
C5,37025,62,101
A4,37101,77,106
A#4,37199,57,102
B4,37265,30,98
C5,37305,69,96
A4,37399,70,104
F4,37495,101,104
C5,37637,38,98
D5,37683,83,95
A4,37808,80,101
F4,38001,77,103
A4,38182,77,103
B4,38355,80,101
D5,38535,92,94
F5,38740,80,111
A5,38932,93,113
B5,39130,83,105
D6,39317,70,105
G6,39527,41,91
E6,39593,73,95
C6,39710,76,9
D6,39877,74,99
A#5,39984,92,99
G5,40109,76,105
C6,40269,69,102
A5,40366,89,108
E5,40516,68,94
A5,40672,68,104
E5,40774,89,93
D#5,40880,107,92
C5,41464,17,100
D5,41483,76,102
G5,41639,44,102
G5,41700,120,105
B4,42196,53,94
D5,42254,69,98
F5,42341,44,99
G5,42419,69,107
G5,42512,131,109
B4,43013,62,99
D5,43128,78,103
F5,43236,100,114
G5,43386,87,114
A#5,43554,96,108
C#5,43724,174,98
C5,44507,115,103
D5,44634,115,101
E5,44791,132,100
F5,44945,84,108
D5,45106,131,96
E5,45247,116,94
F5,45375,123,109
G5,45512,119,105
E5,45701,89,90
F5,45806,108,106
G5,45959,113,108
G#5,46096,139,108
G5,46252,109,108
G#5,46379,116,113
A#5,46548,105,101
B5,46674,103,101
C#6,46830,108,101
D6,46964,105,96
E6,47147,73,97
D6,47242,57,95
E6,47316,61,96
D6,47532,166,97
D6,47698,0,80
G5,48118,54,101
A5,48201,76,109
C6,48303,92,107
A5,48416,92,108
E5,48534,40,94
G5,48600,88,114
E5,48714,53,104
C#5,48793,26,94
D5,48831,25,92
C5,48869,26,95
A4,48905,56,103
A#4,48979,153,105
A5,49153,95,114
E5,49310,113,97
C#5,49495,68,101
D5,49664,104,98
E5,50249,48,97
F5,50302,81,112
A5,50400,72,109
G#5,50488,41,107
A5,50546,44,99
D6,50693,77,103
A5,50806,58,111
F5,50886,84,101
D5,51002,62,97
B4,51084,93,98
A#4,51193,273,98
G4,51483,56,98
A4,51547,68,98
A#4,51627,29,100
C5,51666,30,95
D#5,51724,32,91
A5,51774,113,106
F5,51929,92,107
F5,52137,88,109
C5,52337,44,100
F5,52405,88,103
D5,52893,76,99
F5,52987,65,108
A5,53088,52,112
C6,53156,95,105
F6,53280,78,97
E6,53378,66,99
D#6,53458,85,101
D6,53549,76,102
D5,53659,50,93
F5,53722,70,101
A5,53852,52,109
C6,53925,46,104
D6,53979,32,99
C6,54021,28,103
B5,54055,48,101
A#5,54113,91,98
F5,54233,73,109
D5,54319,78,96
B4,54434,41,98
A#4,54495,91,102
G4,54606,87,103
F4,54714,80,99
C5,54812,70,96
A#4,54899,70,98
F5,55025,70,108
C#5,55191,83,98
A#4,55298,101,98
G5,55443,70,102
F5,55618,64,103
A5,56320,21,83
A#5,56342,74,98
G5,56519,72,107
A5,56620,95,108
C6,56759,91,105
A5,56871,89,110
E5,56972,29,96
D#5,57006,38,97
E5,57049,85,99
C5,57160,104,96
G5,57289,100,109
E5,57435,93,95
F5,57536,136,110
E5,57706,83,101
C5,57889,89,98
A4,58042,87,99
G4,58154,159,102
G#4,58326,136,104
A#4,58492,70,97
B4,58666,81,99
C#5,58854,104,94
D5,59010,87,94
E5,59161,73,82
F5,59267,91,106
G5,59443,76,102
G#5,59531,113,104
B5,59714,97,94
A#5,59859,103,96
D5,59998,183,92
C6,60997,45,107
D6,61047,18,94
C6,61078,38,109
B5,61125,33,109
A#5,61167,107,111
A5,61287,89,114
E5,61397,88,96
F5,61494,44,84
G5,61542,104,115
E5,61688,44,89
F5,61736,111,115
E5,61865,70,102
C5,61965,69,94
A4,62040,72,99
C5,62142,32,99
D5,62186,81,98
A4,62279,101,101
F4,62417,183,101
D4,62612,259,114
B4,62885,103,103
D5,63056,273,98
C5,63366,58,90
A4,63462,93,98
B4,63604,155,94
A5,64174,89,115
F#5,64529,108,109
G5,64647,128,104
F#5,64784,109,100
A#4,64949,85,103
D5,65119,38,95
E5,65187,54,95
E5,65498,79,95
D#5,65604,107,92
A#4,65773,68,96
D#5,65851,129,97
D5,66140,184,98
C#5,66327,74,88
G5,66823,32,109
A5,66869,49,112
B5,66927,22,101
A5,66962,46,110
G5,67028,57,107
C6,67113,117,110
A5,67259,76,109
C#5,67440,389,90
G5,68327,52,102
A5,68431,100,99
G5,68541,105,104
C6,68692,175,105
A5,68871,112,108
G#5,68993,68,107
G#4,69113,85,96
A#4,69214,124,96
C5,69363,504,87
G5,69954,92,101
E5,70092,108,95
F5,70214,125,110
E5,70351,85,96
C5,70454,112,97
B4,70596,116,98
D5,70729,99,99
A4,70849,104,103
G4,70973,136,105
G#4,71119,111,106
E4,71262,156,102
F4,71430,125,106
A#4,71987,68,106
D5,72079,56,100
F5,72165,92,111
D5,72282,70,85
D#5,72368,78,96
E5,72455,62,91
G5,72535,77,105
A#5,72638,68,98
D6,72720,84,94
C6,72812,83,98
A5,72921,81,99
A#5,73008,68,95
G5,73089,87,103
E5,73194,93,92
C5,73309,136,91
A4,73453,200,96
A#4,73681,128,100
A5,73842,87,100
E5,74046,92,90
C5,74204,104,98
C#6,74408,32,102
D6,74448,68,101
A5,74601,50,104
E5,74759,87,97
F5,74954,77,109
D5,75463,80,98
F5,75573,85,100
A5,75708,107,105
C#6,75853,18,100
D6,75883,61,101
A5,76021,73,107
F5,76203,70,108
C5,76339,36,96
E5,76399,70,95
F5,76506,80,111
C#5,76707,45,102
D5,76760,53,100
C6,76826,44,99
A#5,76883,65,104
G5,76958,77,101
G#5,77055,65,108
A5,77136,77,99
F5,77242,49,99
C5,77356,28,103
D5,77396,34,105
C5,77436,41,101
B4,77485,33,105
A#4,77523,36,103
A4,77567,44,108
G#4,77624,42,107
A4,77726,56,101
C5,77800,53,101
A4,77870,61,100
