note_name,start_time,duration,velocity
A5,1591,123,114
A#5,1714,24,105
C6,1742,82,106
C6,1841,76,107
C6,1994,146,108
C6,2149,85,109
F5,3127,106,108
C6,3240,107,111
C6,3362,66,90
C6,3521,94,110
C6,3625,272,108
C6,3904,56,101
F5,4687,80,92
C6,4788,132,107
C6,4941,75,100
C6,5071,85,108
B5,5169,57,103
C6,5233,26,109
C#6,5259,86,112
C6,5348,111,105
A5,5466,309,103
A5,6050,70,117
G#5,6128,79,103
A5,6212,87,117
A#5,6305,89,104
G#5,6403,92,105
A5,6495,75,112
G5,6575,88,103
G#5,6665,74,104
A5,6744,67,115
F5,6824,73,106
D5,6905,66,99
A4,6990,48,96
D5,7050,459,98
A5,7763,75,114
C6,7874,36,112
C#6,7911,12,111
D6,7931,167,104
A5,8115,93,116
G5,8236,642,99
F5,8922,74,98
B5,9069,0,106
C6,9088,174,107
A#5,9262,51,100
G5,9332,40,103
F5,9398,271,101
D#5,9693,59,97
F5,9793,34,102
G5,9835,137,104
C5,9972,102,102
A#4,10089,128,92
F#5,10550,31,102
G5,10581,23,105
G#5,10613,26,108
A5,10651,65,112
D6,10743,160,93
G#5,10935,28,105
G5,10964,78,101
F5,11050,52,89
G5,11114,102,103
F5,11229,54,84
D5,11327,92,99
D5,11439,55,100
D5,11619,54,100
D5,11810,53,103
D5,12004,48,94
D5,12195,47,99
D5,12391,47,101
D5,12482,193,101
D5,12682,92,101
B4,12791,68,93
D5,12888,85,102
E5,12990,83,102
F5,13081,70,100
B4,13866,62,87
D5,13950,58,102
D5,14125,271,95
B4,14429,77,100
D5,14529,85,106
F5,14809,136,109
B4,15185,83,102
D5,15297,69,105
D5,15372,125,103
B4,15502,38,94
E5,15671,95,110
F5,15766,60,94
B4,15960,74,98
D5,16062,62,103
D5,16141,97,103
B4,16252,56,87
D5,16329,102,104
D5,16440,63,105
D5,16517,103,103
B4,16642,52,89
D5,16709,85,103
D5,16832,53,103
D5,16896,127,99
B4,17027,73,96
F5,17163,35,103
G5,17198,0,102
A5,17214,86,114
G5,17300,83,107
F5,17436,70,107
F5,17545,101,105
A4,17682,79,101
D5,17782,265,90
B4,18055,105,99
A4,18160,73,87
G5,18635,41,85
A5,18683,42,114
D6,18734,71,104
D6,18838,92,110
D#6,18930,45,111
C6,18979,94,105
A5,19102,83,117
G5,19209,95,107
F5,19345,88,102
E5,19433,18,84
C6,20553,81,108
C6,20651,74,109
C6,20738,89,108
F6,20849,68,111
A#5,21343,78,103
A#5,21428,69,103
A#5,21502,93,101
F6,21728,91,107
A5,22103,100,116
G#5,22205,80,108
A5,22285,107,117
G#5,22392,83,108
A5,22479,95,119
E6,22606,27,109
F6,22636,73,108
E6,22989,53,112
F6,23042,33,113
E6,23076,65,111
D6,23152,89,110
C#6,23250,93,109
A#5,23355,77,103
A5,23436,94,116
G5,23538,88,108
F5,23641,74,112
D6,23745,69,108
G#5,24031,33,115
G5,24069,12,106
F#5,24083,21,104
D5,24317,40,88
G5,24411,102,110
F5,24601,104,106
G#5,24784,32,103
A5,24818,67,113
G5,24885,13,85
D5,25093,29,103
G5,25171,86,109
G5,25281,80,107
G5,25372,83,108
F5,25465,61,112
F5,25546,64,111
F5,25639,85,103
D5,25743,60,102
G#5,26126,26,101
A5,26154,61,108
C6,26216,70,105
D6,26306,86,112
F6,26412,67,112
F6,26510,98,106
F#6,26608,11,108
G6,26619,74,106
G6,26717,208,110
F6,26945,71,107
D6,27019,56,112
C6,27127,150,102
D6,27288,79,102
G#5,27394,44,106
G5,27442,49,101
G#5,27492,68,102
F5,27563,68,101
G5,27671,100,106
F5,27777,76,101
D5,27880,162,104
F5,28051,102,103
D5,28341,37,101
F5,28422,101,108
G5,28533,63,94
G5,28638,167,9
F5,28815,71,104
G#5,28934,49,105
G5,28983,15,94
D5,29094,34,97
G5,29189,84,103
F5,29292,74,81
D5,29394,96,101
C5,29496,69,89
D5,29577,58,102
C#5,29635,11,95
D5,29848,38,95
F5,29951,92,105
G5,30054,51,92
G5,30149,91,108
F5,30242,29,103
G5,30344,35,92
G5,30428,93,106
F5,30524,24,99
G5,30617,47,97
G5,30706,90,107
F5,30803,36,100
G5,30906,89,105
F5,31001,37,98
G5,31074,122,104
F5,31202,37,101
G5,31280,33,106
G#5,31317,36,105
G5,31357,42,93
D5,31479,76,97
F5,31569,184,108
F5,32040,0,105
F#5,32091,27,108
G5,32133,280,106
F5,32422,91,102
F#5,32537,37,104
G5,32581,36,106
G#5,32628,337,103
A5,32969,390,113
G#5,33593,54,107
A5,33665,89,114
A#5,33766,57,108
A5,33824,35,99
G#5,33879,52,93
A5,33931,110,113
F5,34107,34,89
G#5,34157,85,107
A5,34245,90,114
A#5,34355,47,103
A5,34402,50,105
G#5,34468,60,93
A5,34528,125,112
G#5,34726,98,106
A5,34828,50,105
A5,34905,15,79
A#5,34922,42,105
A5,34971,67,101
G#5,35043,59,94
A5,35103,53,117
G#5,35161,46,109
G#5,35305,96,103
A5,35401,48,106
A#5,35507,29,104
A5,35536,56,106
D5,35604,65,87
A5,35669,110,109
D5,35783,74,91
G#5,35865,99,102
A5,35964,39,95
A#5,36077,29,104
A5,36107,69,105
D5,36180,69,84
A5,36255,38,119
G#5,36294,22,86
D5,36435,96,98
A#4,36589,34,90
G#5,36637,84,106
A5,36736,30,102
A#5,36820,34,101
A5,36854,58,103
A5,36930,49,112
D5,37124,33,95
G5,37199,47,103
G#5,37246,53,106
A5,37310,23,104
A#5,37412,24,110
A5,37436,27,106
A#5,37465,33,107
G#5,37527,40,94
A5,37597,92,112
D5,37715,42,91
G#5,37778,50,100
A5,37860,35,88
A#5,37958,37,107
A5,37996,32,104
A#5,38038,53,101
G#5,38097,33,86
A5,38144,80,105
D5,38347,103,103
A#4,38464,27,82
G#5,38538,52,110
G5,38592,10,102
F#5,38606,16,105
F5,38625,21,103
D5,38706,53,109
C#5,38766,38,105
C5,38838,42,90
G5,38911,38,110
F#5,38951,15,106
F5,38971,15,101
D5,39100,105,102
C5,39216,48,96
F5,39288,127,105
F5,39435,107,96
F5,39593,48,104
G#4,39779,53,98
G4,39833,11,100
F#4,39846,0,80
F4,39849,19,110
E4,39876,23,100
F4,39991,37,97
G4,40066,101,102
F4,40169,51,97
A4,40225,33,117
C5,40263,19,104
D5,40287,38,100
C5,40333,30,100
D5,40374,166,91
