note_name,start_time,duration,velocity
F#5,3942,75,109
A5,4069,90,118
A#5,4169,61,119
B5,4243,66,117
C6,4321,183,122
A5,4506,59,105
A#5,4575,86,114
G#5,4673,86,113
A5,4770,103,115
G#5,4886,84,104
G5,4982,104,93
F#5,5092,72,102
F5,5169,62,92
E5,5231,50,85
D#5,5291,53,84
F5,5358,53,102
D5,5449,78,96
F#5,5593,49,95
F#5,5651,52,103
F5,5708,37,102
F#5,6095,53,108
F#5,6158,45,115
G5,6222,49,108
A#5,6290,88,107
G#5,6385,76,111
A5,6477,36,105
G5,6523,45,104
G#5,6570,32,101
F5,6629,54,102
D5,6703,83,95
A#4,6807,61,94
D5,6874,96,107
F5,7006,82,102
D5,7102,73,93
A#4,7191,70,86
D#5,7265,82,96
G#5,7413,35,89
A#5,7450,82,102
D6,7562,99,114
C6,7978,93,117
D6,8083,64,110
C6,8152,37,110
A#5,8206,56,110
G#5,8274,79,108
A#5,8380,92,111
F5,8488,76,102
D5,8599,57,95
A#4,8710,65,93
G5,8790,89,112
D5,8900,33,86
F5,8955,104,107
D5,9098,146,94
D5,9279,48,94
A#4,9344,97,97
G4,9458,58,90
C5,9527,109,95
A#4,9677,96,95
D5,10125,130,108
D#5,10257,67,101
F5,10330,93,106
G5,10425,64,111
A5,10503,101,122
A#5,10615,90,115
B5,10706,90,117
C6,10807,171,119
A5,10986,48,104
G5,11048,56,96
A#5,11114,108,110
F5,11232,712,91
F5,12251,46,102
D#5,12335,93,84
E5,12439,38,80
F5,12489,87,88
D#5,12592,51,73
E5,12812,100,93
E5,12939,90,93
F5,13101,72,107
D5,13186,69,97
D#5,13294,52,89
D6,13363,127,99
C6,13869,105,123
A#5,13976,93,114
A5,14096,107,115
A#5,14267,101,107
G#5,14385,65,83
A5,14466,50,75
A#5,14554,86,113
D6,14708,102,115
C6,14827,69,112
A#5,14902,113,111
C6,15050,119,114
A#5,15190,96,111
A5,15297,130,119
A#5,16160,89,116
B5,16249,53,122
A#5,16308,52,117
E5,16382,31,100
D#5,16420,36,107
C5,16465,43,108
A#5,16510,61,109
B5,16575,47,116
A#5,16627,59,116
A5,16693,85,106
G5,16783,67,100
A#5,16873,120,108
D6,17004,76,103
G5,17106,89,77
B5,17726,57,124
C6,17787,81,119
D#6,17895,104,109
F#6,18007,649,112
D#6,18685,243,98
B5,18941,32,99
G5,18973,134,83
C6,19387,63,108
C#6,19459,87,116
A5,19570,63,120
A#5,19640,28,111
B5,19674,51,114
C6,19729,52,117
D6,19789,63,112
C6,19860,104,115
A#5,19965,75,113
A#5,20047,48,111
A5,20098,120,110
G5,20237,68,97
A#5,20311,85,109
F5,20421,71,99
D5,20496,93,87
F5,20603,72,97
F6,20708,99,113
F5,20891,69,102
D#5,20985,90,93
F#5,21112,72,101
G5,21195,93,104
D6,21378,111,107
D#6,21558,111,108
D6,21750,126,106
C6,21934,63,110
A5,22007,79,100
G5,22106,92,89
G6,22220,93,114
G5,22414,99,110
F#5,22525,93,95
G5,22628,100,102
A#5,22742,86,109
A5,22927,99,113
C6,23109,36,106
