,note_name,start_time,duration,velocity,chord
15,A4,0.046357615894039306,0.1205298013245033,104,Fj7
16,C5,0.1920529801324502,0.10066225165562914,101,Fj7
17,D5,0.2993377483443709,0.12582781456953643,108,Fj7
18,C5,0.4503311258278142,0.08874172185430464,100,Fj7
19,G5,0.5536423841059603,0.1337748344370861,115,Fj7
20,E5,0.7086092715231782,0.08211920529801324,113,Fj7
21,F5,0.8013245033112577,0.11920529801324503,113,Fj7
22,G5,0.9536423841059598,0.10728476821192053,113,Fj7
23,G#5,1.0794701986754962,0.10066225165562914,115,Fj7
24,A5,1.1986754966887414,0.12980132450331125,121,Fj7
25,A#5,1.3430463576158935,0.0847682119205298,112,Fj7
26,B5,1.4384105960264897,0.10066225165562914,114,Fj7
27,C6,1.5682119205298015,0.10331125827814569,109,Fj7
28,B5,1.6966887417218537,0.11920529801324503,109,Fj7
29,A#5,1.8370860927152313,0.10331125827814569,107,Fj7
30,A5,1.9549668874172186,0.12582781456953643,116,Fj7
31,G5,2.095364238410596,0.09668874172185431,107,Em7b5
32,F5,2.2079470198675493,0.09801324503311258,109,Em7b5
33,E5,2.3165562913907287,0.11125827814569536,108,Em7b5
34,D5,2.4463576158940397,0.11920529801324503,96,Em7b5
35,C#5,2.5947019867549663,0.0,98,Em7b5
36,E5,2.703311258278146,0.08741721854304636,108,Em7b5
37,G5,2.878145695364238,0.07417218543046358,93,Em7b5
38,A5,2.960264900662252,0.09006622516556291,93,Em7b5
39,C6,3.087417218543046,0.09801324503311258,111,A79b
40,D6,3.1907284768211914,0.02913907284768212,86,A79b
41,C6,3.241059602649007,0.05827814569536424,106,A79b
42,A#5,3.312582781456954,0.10066225165562914,105,A79b
43,C6,3.429139072847682,0.03443708609271523,96,A79b
44,A#5,3.482119205298013,0.06887417218543046,102,A79b
45,A5,3.5536423841059603,0.14304635761589404,110,A79b
46,F5,3.717880794701986,0.10331125827814569,108,A79b
47,C#5,3.823841059602649,0.14834437086092717,97,A79b
48,A4,3.993377483443708,0.05827814569536424,87,A79b
49,E5,4.064900662251655,0.14834437086092717,109,D-7
50,A4,4.245033112582781,0.052980132450331126,87,D-7
51,D5,4.32980132450331,0.14304635761589404,106,D-7
52,E5,4.494039735099338,0.04768211920529802,109,D-7
53,F5,4.562913907284767,0.2728476821192053,105,D-7
54,E5,4.84635761589404,0.1271523178807947,108,D-7
55,D#5,4.99205298013245,0.07947019867549669,103,D-7
56,D5,5.090066225165562,0.12980132450331125,99,Bm7b5
57,A4,5.241059602649007,0.09271523178807947,106,Bm7b5
58,A#4,5.859602649006622,0.11655629139072848,105,Bm7b5
59,A4,5.984105960264901,0.08211920529801324,103,Bm7b5
60,G#4,6.100662251655629,0.08741721854304636,101,E7
61,A#4,6.2145695364238405,0.14834437086092717,104,E7
62,C5,6.370860927152317,0.10066225165562914,89,E7
63,E5,6.482119205298013,0.09006622516556291,99,E7
64,G5,6.577483443708609,0.12450331125827814,119,E7
65,A4,6.866225165562914,0.09801324503311258,100,E7
66,G#4,6.9801324503311255,0.09801324503311258,95,E7
67,G4,7.094039735099337,0.11655629139072848,96,A7
68,A4,7.242384105960265,0.11125827814569536,102,A7
69,B4,7.36158940397351,0.10066225165562914,92,A7
70,D5,7.464900662251655,0.10331125827814569,96,A7
71,F#5,7.586754966887416,0.11920529801324503,119,A7
72,C5,7.854304635761589,0.11390728476821192,104,A7
73,A#4,7.981456953642383,0.09801324503311258,103,A7
74,A4,8.108609271523179,0.10066225165562914,97,D7
75,G4,8.222516556291392,0.11655629139072848,100,D7
