note_name,start_time,duration,velocity
E5,2127,109,97
B4,2250,63,83
E5,2316,100,93
E5,2426,48,103
B4,2486,73,84
E5,2613,52,103
D#5,2686,97,92
F#5,2799,46,87
B5,2852,102,109
C#5,3051,37,99
D#5,3093,95,84
A#5,4128,241,104
A#5,4383,118,108
A#5,4558,315,108
G#5,4883,79,106
F#5,4996,140,97
F#5,5168,104,99
F#5,5291,232,99
G#5,5541,95,103
F#5,5655,64,102
E5,5722,122,88
E5,5853,41,82
D#6,5895,126,114
E5,6046,560,86
G#5,7018,48,117
B5,7082,106,119
A5,7189,55,104
A#5,7251,562,114
G#5,7814,120,106
F#5,7944,82,97
E5,8067,122,95
E5,8205,108,96
D#5,8336,356,95
C#5,8704,72,96
D#5,8808,73,98
F#5,8902,61,102
A#5,8981,93,114
D6,9092,91,118
E6,9206,23,104
F6,9236,115,122
D#6,9358,97,118
E6,9471,82,120
A6,9581,52,107
G6,9638,45,113
F6,9693,39,116
E6,9739,95,118
D6,9852,81,117
C6,9967,61,112
B5,10047,54,114
A5,10110,91,105
G#5,10228,75,106
F#5,10321,75,98
D#6,10424,77,118
C#6,10546,61,104
E5,10641,64,100
F#5,10755,104,94
E5,10884,127,94
D#5,11027,428,79
B5,11786,200,111
G#5,11998,45,91
B5,12044,127,110
G#5,12230,117,99
B4,12383,255,78
F6,13012,295,123
F#6,13321,99,116
E6,13441,133,117
C#6,13579,109,110
D#6,13711,93,118
C#6,13836,142,114
A#5,13981,108,112
B5,14107,64,114
G5,14203,90,110
G#5,14302,70,111
E5,14388,90,104
C#5,14481,77,99
G4,14594,164,103
G#4,14777,133,103
F#5,14940,355,95
F#5,15335,317,91
D#5,15666,391,84
A4,16296,115,108
A#4,16420,88,109
F5,16508,21,91
A#5,16554,100,111
G#5,16655,129,110
G#5,16798,329,109
G#4,17155,61,100
F5,17226,34,97
G#5,17287,127,106
F#5,17421,151,104
F#5,17586,234,99
G#5,17830,111,107
F#5,17960,75,104
E5,18053,91,104
D6,18210,50,107
D#6,18260,131,107
E5,18419,549,83
G#5,19503,93,111
A#5,19612,99,116
G#5,19716,50,89
A#5,19778,102,114
G#5,19887,81,111
G5,19995,145,106
F5,20161,84,105
D5,20264,91,98
E5,20383,77,97
F5,20469,64,111
G#5,20558,95,107
A#5,20663,88,117
B5,20776,90,116
C#6,20941,365,111
B5,21324,109,112
G#5,21447,79,108
B5,21578,117,105
G#5,21713,135,99
D#5,21853,55,92
G#5,21931,95,103
G#5,22112,155,102
D#5,22292,295,87
B4,22612,88,89
D5,22701,37,97
D#5,22763,95,100
B4,22868,117,84
G#4,23006,380,88
G5,23563,71,110
F#5,23654,84,101
E5,23763,76,103
D#5,23862,74,101
C#5,23943,69,105
B4,24032,94,94
A4,24138,61,89
A#4,24219,76,95
D#5,24312,58,111
C#5,24380,102,95
G#5,24587,87,109
G#5,24763,115,106
B5,24944,248,111
G#5,25263,61,109
D6,25377,56,118
D#6,25435,184,119
F#6,25657,79,118
A6,25764,76,115
G6,25849,64,114
E6,25945,70,118
B5,26047,72,101
E6,26126,21,76
F#6,26147,39,100
E6,26186,32,109
B5,26245,43,107
G5,26304,100,102
E5,26427,37,93
F#5,26469,32,84
G5,26511,136,10
E5,26657,108,117
B4,26788,34,101
E5,26841,167,116
B4,27011,129,109
G4,27145,37,117
B4,27189,151,110
F#4,27347,57,127
E4,27414,73,110
D#4,27512,176,115
