note_name,start_time,duration,velocity
D#5,2026,39,118
F5,2068,28,108
D#5,2101,43,121
C5,2150,55,117
G4,2226,266,115
D#4,2508,85,114
G4,2602,264,109
D#4,2876,102,111
G4,2986,525,102
F4,4045,257,122
G4,4337,112,122
G#4,4489,398,101
G4,4922,135,120
F4,5079,106,116
C#5,5225,343,110
G#4,5603,56,112
C#5,5685,103,116
C#5,5807,138,111
C#5,5963,414,97
E4,6920,130,124
G#4,7069,68,119
A#4,7151,57,126
C5,7220,62,122
C#5,7294,446,107
C#5,7847,39,120
D#5,7893,28,119
C#5,7932,78,119
C5,8021,140,112
A#4,8168,94,124
D#5,8273,351,112
D#5,8638,151,122
D#5,8799,102,126
D#5,8907,114,127
D#5,9031,247,109
F5,9622,157,116
D#5,9793,68,122
F#5,9929,139,108
F5,10081,103,113
D#5,10192,632,102
D#5,11282,42,118
F5,11327,32,111
D#5,11362,62,117
C#5,11430,431,102
D#5,11891,173,119
C#5,12074,85,112
A#4,12161,30,93
E5,12197,163,112
D#5,12366,96,121
C#5,12475,424,97
B4,13241,283,113
G#4,13548,85,117
F4,13641,60,120
A#4,13729,294,110
G4,14032,138,113
C#4,14205,96,122
D#4,14321,93,123
F4,14430,86,118
G4,14532,238,116
D#4,14789,69,109
G4,14877,100,117
D#5,14988,89,120
C5,15085,84,111
G4,15188,613,105
F4,16410,298,118
G4,16725,110,117
G#4,16845,352,104
G4,17210,155,115
F4,17391,119,111
C#5,17560,402,101
C#5,18042,105,118
C#5,18201,107,109
C#5,18323,561,94
E4,19225,84,123
G#4,19322,87,118
C#5,19425,602,102
C#5,20162,46,120
D#5,20212,26,118
C#5,20250,98,116
C5,20355,67,114
A#4,20488,89,121
D#5,20641,262,115
D#5,20931,144,123
D#5,21087,112,120
D#5,21208,102,126
D#5,21327,220,113
F5,21888,177,120
D#5,22069,94,122
F#5,22214,492,95
D#5,22846,128,124
G5,23017,268,113
D#5,23310,97,123
F5,23494,118,119
D#5,23625,40,117
G#5,23700,304,94
G#5,24108,134,111
G#5,24269,127,113
G#5,24412,218,10
G#5,24775,87,122
E5,24882,80,117
C#5,24973,67,114
A#4,25084,58,123
F4,25162,53,111
G#4,25244,340,100
G#4,25905,80,114
C5,26006,76,109
G#4,26110,59,103
C5,26174,98,104
G#4,26395,154,100
F4,26618,77,110
G4,26714,255,100
